""
Topic,Value
Future Technologies,150
Art & Design,120
Science & Nature,170
Health & Psychology,200
Culture & Society,180
Economics & Finance,160
Education & Learning,190
Entertainment & Leisure,140
Environment & Climate Change,210
Food & Nutrition,130
Travel & Adventure,155
Fashion & Beauty,145
Politics & Governance,175
Sports & Fitness,165
History & Archaeology,135
Philosophy & Ethics,185
Music & Performing Arts,195
Literature & Writing,125
Business & Entrepreneurship,175
Astronomy & Space Exploration,155
""
