Country,League,Club,Player Names,Matches_Played,Substitution ,Mins,Goals,xG,xG Per Avg Match,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,Year
England,Premier League,(INT),Alexis Sanchez,36,2,3385,24,19.24,0.54,129,49,3.62,1.38,2016
England,Premier League,(INT),Romelu Lukaku,36,1,3448,25,18.15,0.5,110,53,3.03,1.46,2016
England,Premier League,(TOT),Harry Kane,29,1,2636,29,18.87,0.68,110,58,3.96,2.09,2016
England,Premier League,(LEI),Jamie Vardy,33,2,2938,13,9.28,0.3,54,26,1.75,0.84,2016
England,Premier League,(CRY),Christian Benteke,36,0,3299,15,18.4,0.53,105,38,3.02,1.09,2016
England,Premier League,(ROM),Pedro None,26,9,2250,10,5.68,0.24,59,17,2.49,0.72,2016
England,Premier League,(RMA),Eden Hazard,36,0,3101,16,11.1,0.34,77,32,2.36,0.98,2016
England,Premier League,(LIV),Roberto Firmino,34,1,3228,11,10.87,0.32,104,43,3.06,1.27,2016
England,Premier League,(LIV),Sadio Mane,26,1,2347,13,9.14,0.37,58,24,2.35,0.97,2016
England,Premier League,(BAR),Philippe Coutinho,28,3,2327,13,9.31,0.38,107,36,4.37,1.47,2016
England,Premier League,(ATL),Diego Costa,35,0,3232,20,16.67,0.49,111,41,3.26,1.21,2016
England,Premier League,(TOT),Dele Alli,35,2,3182,18,15.07,0.45,95,43,2.84,1.28,2016
England,Premier League,(MNC),Sergio Aguero,25,6,2444,21,22.38,0.87,139,51,5.4,1.98,2016
England,Premier League,(RAN),Jermain Defoe,37,0,3511,15,15.52,0.42,99,31,2.68,0.84,2016
England,Premier League,(NAP),Fernando Llorente,28,5,2562,15,8.36,0.31,52,25,1.93,0.93,2016
England,Premier League,(WHU),Michail Antonio,29,0,2493,11,9.71,0.37,79,25,3.01,0.95,2016
England,Premier League,(ACM),Zlatan Ibrahimovic,27,1,2578,17,15.74,0.58,115,45,4.24,1.66,2016
England,Premier League,(CHE),Olivier Giroud,11,18,1311,12,6.9,0.5,39,20,2.83,1.45,2016
England,Premier League,(TOT),Son Heung-Min,23,11,2174,14,7.32,0.32,80,33,3.5,1.44,2016
England,Premier League,(BOU),Joshua King,31,5,2856,16,10.82,0.36,67,29,2.23,0.96,2016
