item_id,description,up1,up2,up3,up4,down1,down2,down3,down4,level1,level2,level3,level4,up_ch1,up_ch2,up_ch3,up_ch4,down_ch1,down_ch2,down_ch3,down_ch4,total1,total2,total3,total4,up1_sh,up2_sh,up3_sh,up4_sh,down1_sh,down2_sh,down3_sh,down4_sh,level1_sh,level2_sh,level3_sh,level4_sh,change1_sh,change2_sh,change3_sh,change4_sh,net1_sh,net2_sh,net3_sh,net4_sh,item,id_count,item_id_raw,division,date_quote_s,date_quote_e,desc_appearances,date_start,date_end,coicop4_id,group,n_shops,p_min,p_max,p_mean,p_med,p_sd,coicop5_id,order,to_adjust_id,max_id,n_obs,span,spanrank,chartrank,meat_fish,track_kg,kg,to_adjust,observations,name1,name2,name3,name4,name5,weight,coicopname,sex,origin,durability,goods_services
210101,LARGE LOAF-WHITE-SLICED-800G,3014.0,0.0,0.0,0.0,1523.0,0.0,0.0,0.0,24322.0,0.0,0.0,0.0,0.092052013,,,,-0.11569976,,,,28859.0,0.0,0.0,0.0,0.10443883,,,,0.05277383,,,,0.84278733,,,,0.15721266,,,,0.051664997,,,,1,1.0,210101.0,1.0,198802.0,200401.0,1.0,1.0,192.0,10101.0,101.0,222.0,0.07,1.4,0.56312937,0.54000002,0.17646977,0.0,805.0,,210101.0,36039.0,191.0,464.0,479.0,,0G,0.0,,16200.0,Food and drink,Food,Bread and cereals,Bread,White sliced loaf,800.0,Food and non-alcoholic beverages,Unisex,2.0,ND,Goods
210102,LARGE LOAF-WHITE-UNSLICED-800G,4513.0,266.0,25.0,11.0,2364.0,157.0,16.0,2.0,37633.0,3138.0,609.0,428.0,0.13069457,0.13861798,0.23017207,0.086093485,-0.14278598,-0.18415642,-0.17255893,-0.046212126,44510.0,3561.0,650.0,441.0,0.10139295,0.07469812,0.03846154,0.024943311,0.053111661,0.04408874,0.024615385,0.0045351475,0.8454954,0.88121313,0.93692309,0.97052157,0.15450461,0.11878686,0.063076928,0.029478459,0.048281286,0.03060938,0.013846155,0.020408163,2,1.0,210102.0,1.0,198802.0,202103.0,1.0,1.0,398.0,10101.0,101.0,212.0,0.34999999,3.6900001,0.91572708,0.83999997,0.30956739,1010103.0,806.0,,210102.0,52545.0,397.0,1.0,101.0,,0G,0.0,,33855.0,Food and drink,Food,Bread and cereals,Bread,White unsliced loaf,800.0,Food and non-alcoholic beverages,Unisex,2.0,ND,Goods
210105,LARGE WHOLEMEAL LOAF-UNSLICED,2584.0,0.0,0.0,0.0,1474.0,0.0,0.0,0.0,18136.0,0.0,0.0,0.0,0.088483185,,,,-0.10683045,,,,22194.0,0.0,0.0,0.0,0.11642786,,,,0.066414349,,,,0.8171578,,,,0.18284221,,,,0.050013512,,,,3,1.0,210105.0,1.0,198802.0,200301.0,1.0,1.0,180.0,10101.0,101.0,200.0,0.30000001,2.0,0.74522442,0.75,0.14188217,0.0,808.0,,210105.0,27161.0,179.0,512.0,530.0,,ED,0.0,,10463.0,Food and drink,Food,Bread and cereals,Bread,Wholemeal unsliced loaf,0.0,Food and non-alcoholic beverages,Unisex,2.0,ND,Goods
210106,SIX BREAD ROLLS-WHITE/BROWN,4345.0,240.0,82.0,24.0,2724.0,131.0,59.0,42.0,42515.0,4075.0,998.0,735.0,0.13910615,0.13725352,0.12951024,0.10130536,-0.13524789,-0.17608498,-0.1981249,-0.21795744,49584.0,4446.0,1139.0,801.0,0.087629072,0.053981107,0.071992978,0.029962547,0.054937076,0.029464688,0.051799823,0.052434456,0.85743386,0.91655421,0.87620717,0.91760302,0.14256614,0.083445795,0.1237928,0.082396999,0.032691997,0.024516419,0.020193156,-0.022471908,4,1.0,210106.0,1.0,198802.0,202103.0,1.0,1.0,398.0,10101.0,101.0,223.0,0.1,5.3400002,0.79934418,0.69999999,0.39890659,1010103.0,1141.0,,210106.0,60385.0,397.0,1.0,87.0,,WN,0.0,,39425.0,Food and drink,Food,Bread and cereals,Bread,Bread rolls,0.0,Food and non-alcoholic beverages,Unisex,2.0,ND,Goods
210107,"BROWN LOAF,400G,SLICED-GRAN",2616.0,0.0,0.0,0.0,1368.0,0.0,0.0,0.0,19754.0,0.0,0.0,0.0,0.077987403,,,,-0.084318474,,,,23738.0,0.0,0.0,0.0,0.11020305,,,,0.05762912,,,,0.8321678,,,,0.16783217,,,,0.05257393,,,,5,1.0,210107.0,1.0,198903.0,200401.0,1.0,14.0,192.0,10101.0,101.0,215.0,0.11,1.09,0.52304959,0.51999998,0.10124722,0.0,231.0,,210107.0,29361.0,178.0,536.0,540.0,,AN,0.0,,13485.0,Food and drink,Food,Bread and cereals,Bread,Granary sliced loaf,400.0,Food and non-alcoholic beverages,Unisex,2.0,ND,Goods
210108,PITTA BREAD,762.0,0.0,0.0,0.0,669.0,0.0,0.0,0.0,11143.0,0.0,0.0,0.0,0.15671493,,,,-0.15774982,,,,12574.0,0.0,0.0,0.0,0.060601242,,,,0.053205024,,,,0.88619375,,,,0.11380626,,,,0.0073962174,,,,6,1.0,210108.0,1.0,200002.0,201001.0,1.0,145.0,264.0,10101.0,101.0,158.0,0.19,1.59,0.57846904,0.55000001,0.19979824,0.0,971.0,,210108.0,14605.0,119.0,722.0,736.0,,AD,0.0,,14605.0,Food and drink,Food,Bread and cereals,Bread,Pitta bread,0.0,Food and non-alcoholic beverages,Unisex,2.0,ND,Goods
210109,FRENCH STICK/BAGUETTE,334.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,4644.0,0.0,0.0,0.0,0.11872309,,,,-0.12908995,,,,5188.0,0.0,0.0,0.0,0.064379334,,,,0.040478025,,,,0.89514261,,,,0.10485736,,,,0.02390131,,,,7,1.0,210109.0,1.0,200102.0,200501.0,1.0,157.0,204.0,10101.0,101.0,109.0,0.23,1.0,0.54244423,0.44999999,0.18536258,0.0,584.0,,210109.0,5695.0,47.0,996.0,1027.0,,TE,0.0,,5695.0,Food and drink,Food,Bread and cereals,Bread,Baguette,0.0,Food and non-alcoholic beverages,Unisex,2.0,ND,Goods
210110,LARGE WHOLEMEAL LOAF (SLICED),170.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,998.0,0.0,0.0,0.0,0.087489285,,,,-0.12668589,,,,1247.0,0.0,0.0,0.0,0.13632719,,,,0.063352048,,,,0.80032074,,,,0.19967924,,,,0.072975144,,,,8,1.0,210110.0,1.0,200302.0,200401.0,1.0,181.0,192.0,10101.0,101.0,73.0,0.34999999,1.28,0.78563082,0.75,0.1825778,0.0,807.0,,210110.0,1506.0,11.0,1183.0,1243.0,,D),0.0,,1506.0,Food and drink,Food,Bread and cereals,Bread,Wholemeal sliced loaf,0.0,Food and non-alcoholic beverages,Unisex,2.0,ND,Goods
210111,WHITE SLICED LOAF BRANDED 750G,2844.0,416.0,118.0,80.0,1969.0,248.0,92.0,56.0,20552.0,4347.0,1150.0,814.0,0.12361729,0.084777541,0.099162258,0.10064103,-0.10979514,-0.10240161,-0.097698897,-0.1063053,25365.0,5011.0,1360.0,950.0,0.11212301,0.083017364,0.086764708,0.08421053,0.077626653,0.049491119,0.067647062,0.058947369,0.81025034,0.86749154,0.84558821,0.8568421,0.18974966,0.13250849,0.15441176,0.1431579,0.034496352,0.033526246,0.019117646,0.02526316,9,1.0,210111.0,1.0,200402.0,202103.0,1.0,193.0,398.0,10101.0,101.0,132.0,0.23,2.79,1.0495116,1.05,0.27551845,1010103.0,1279.0,,210111.0,28931.0,205.0,384.0,403.0,,0G,0.0,,26443.0,Food and drink,Food,Bread and cereals,Bread,"White sliced loaf, branded",750.0,Food and non-alcoholic beverages,Unisex,2.0,ND,Goods
210112,BROWN SLICED LOAF BRANDED 400G,228.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,1839.0,0.0,0.0,0.0,0.07241296,,,,-0.088430591,,,,2189.0,0.0,0.0,0.0,0.10415715,,,,0.055733211,,,,0.84010965,,,,0.15989035,,,,0.048423938,,,,10,1.0,210112.0,1.0,200402.0,200601.0,1.0,193.0,216.0,10101.0,101.0,81.0,0.30000001,1.09,0.63286501,0.66000003,0.13840304,0.0,232.0,,210112.0,2719.0,23.0,1128.0,1151.0,,0G,0.0,,2719.0,Food and drink,Food,Bread and cereals,Bread,"Brown sliced loaf, branded",400.0,Food and non-alcoholic beverages,Unisex,2.0,ND,Goods
