Country,Population (millions),"GDP(PPP, US$ billion)",Points
Austria,8.946,534.57,40
Belgium,11.555,659.25,73
Bosnia and Herzegovina,3.481,56.65,3
Bulgaria,6.839,178.16,17
Croatia,4.034,132.62,44
Czech Republic,10.495,471.76,41
Denmark,5.84,374.03,33
France,65.447,3358.91,130
Germany,83.196,4888.36,225
Greece,10.679,344.17,8
Hungary,9.731,362.0,48
Iceland,0.369,22.12,1
Italy,59.236,2734.61,156
Netherlands,17.475,1095.45,104
Norway,5.415,383.373,9
Poland,37.84,1437.81,57
Portugal,10.292,379.69,57
Romania,19.202,651.64,29
Russia,145.558,4494.22,67
Serbia,6.872,148.68,63
Slovenia,60.143,93.14,4
Spain,0.182,1983.11,110
Sweden,10.452,622.83,70
Switzerland,8.67,674.01,50
Turkey,84.68,2953.94,16
Ukraine,41.077,588.45,7
