Country,Happiness score,Country_temp,ISO3,GDP per capita (PPP),Life Ladder,Social support,Perceptions of corruption,Population,Median Age,Total Fertility Rate,Life Expectancy,Infant Mortality,Child Mortality,Net Migration Rate,Continent,UN Region
Finland,7.821,Finland,FIN,55013.38586,7.7944,0.9703,0.1918,5535992.0,42.368,1.389,82.038,1.932,2.353,2.7,Europe,Northern Europe
Denmark,7.636,Denmark,DNK,64651.21645,7.6987,0.9449,0.1727,5854240.0,41.261,1.719,81.375,2.854,3.269,3.893,Europe,Northern Europe
Iceland,7.557,Iceland,ISL,57611.59178,7.5646,0.9799,0.6645,370335.0,35.858,1.733,82.678,1.048,1.495,1.681,Europe,Northern Europe
Switzerland,7.512,Switzerland,CHE,77273.60724,7.3277,0.9344,0.2867,8691406.0,41.832,1.5,84.0,3.2,4.0,2.8,Europe,Western Europe
Netherlands,7.415,Netherlands,NLD,63768.20005,7.3142,0.9188,0.3966,17501696.0,41.738,1.64,81.7,3.5,4.0,3.3,Europe,Western Europe
Luxembourg*,7.404,Luxembourg,LUX,134544.5291,,,,639321.0,38.735,1.39,82.6,4.5,5.0,10.9,Europe,Western Europe
Sweden,7.384,Sweden,SWE,59323.96461,7.4393,0.9318,0.1915,10467097.0,39.493,1.67,82.983,1.926,2.373,7.682,Europe,Northern Europe
Norway,7.365,Norway,NOR,79201.23025,7.3616,0.9479,0.2633,5403021.0,39.33,1.503,83.234,1.968,2.426,1.964,Europe,Northern Europe
Israel,7.364,Israel,ISR,43721.62304,7.5775,0.9166,0.726,8900059.0,29.044,2.976,82.255,3.027,3.734,1.896,Asia,Western Asia
New Zealand,7.2,New Zealand,NZL,46419.5087,7.1367,0.9498,0.2524,5129727.0,36.502,1.77,82.5,4.0,5.0,7.5,Oceania,Australia and New Zealand
Austria,7.163,Austria,AUT,58430.64025,7.0796,0.863,0.5008,8922082.0,42.753,1.47,81.6,2.9,4.0,2.3,Europe,Western Europe
Australia,7.162,Australia,AUS,56281.37865,7.1116,0.9198,0.4537,25921089.0,36.953,1.6,84.5,2.9,3.0,4.6,Oceania,Australia and New Zealand
Ireland,7.041,Ireland,IRL,106351.3735,6.8277,0.8498,0.3604,4986526.0,37.602,1.768,81.998,2.493,2.88,3.077,Europe,Northern Europe
Germany,7.034,Germany,DEU,57881.08358,6.7545,0.8676,0.4176,83408554.0,44.874,1.53,80.6,3.1,4.0,3.8,Europe,Western Europe
Canada,7.025,Canada,CAN,52085.03569,6.9394,0.9261,0.384,38155012.0,40.162,1.46,82.7,4.3,5.0,5.1,America,Northern America
United States,6.977,United States,USA,69287.53659,6.9591,0.92,0.6866,336997624.0,37.683,1.66,77.2,5.4,6.0,1.7,America,Northern America
United Kingdom,6.943,United Kingdom,GBR,49675.30467,6.867,0.854,0.4475,67281039.0,39.637,1.562,80.742,3.615,4.098,3.007,Europe,Northern Europe
Czechia,6.92,Czechia,CZE,45093.65777,6.9425,0.9502,0.8626,10510751.0,42.607,1.699,77.728,2.376,2.887,0.345,Europe,Eastern Europe
Belgium,6.805,Belgium,BEL,58905.16378,,,,11611419.0,40.867,1.58,81.9,3.5,4.0,4.5,Europe,Western Europe
France,6.687,France,FRA,50541.25936,6.6562,0.9146,0.5608,64531444.0,41.591,1.79,82.5,3.6,4.0,0.3,Europe,Western Europe
Bahrain,6.647,Bahrain,BHR,54256.77143,,,,1463265.0,32.746,1.811,78.76,5.583,6.707,-6.235,Asia,Western Asia
Slovenia,6.63,Slovenia,SVN,43602.4892,6.7612,0.9553,0.7542,2119410.0,43.197,1.63,80.7,1.9,2.0,2.2,Europe,Southern Europe
Costa Rica,6.582,Costa Rica,CRI,23319.50228,6.4084,0.8761,0.7818,5153957.0,32.89,1.53,77.0,6.5,8.0,0.4,America,Central America
United Arab Emirates,6.576,United Arab Emirates,ARE,76609.198,6.7331,0.8261,,9365145.0,32.836,1.46,78.71,5.412,6.512,-0.295,Asia,Western Asia
Saudi Arabia,6.523,Saudi Arabia,SAU,48710.94768,6.4453,0.8594,,35950396.0,29.779,2.427,76.936,5.744,6.899,-4.272,Asia,Western Asia
Singapore,6.48,Singapore,SGP,116486.4732,6.5867,0.8764,0.1449,5941060.0,41.782,1.024,82.754,1.487,2.056,3.257,Asia,South-eastern Asia
Romania,6.477,Romania,ROU,35869.63348,6.5487,0.8345,0.9283,19328560.0,41.873,1.748,74.185,5.419,6.637,-0.658,Europe,Eastern Europe
Spain,6.476,Spain,ESP,40698.6887,6.4696,0.9264,0.7293,47486935.0,43.882,1.28,83.0,2.5,3.0,5.8,Europe,Southern Europe
Uruguay,6.474,Uruguay,URY,25048.72397,6.5017,0.9139,0.6056,3426260.0,35.219,1.49,75.4,4.7,6.0,-0.4,America,South America
Italy,6.467,Italy,ITA,45902.23562,6.4667,0.8855,0.8623,59240329.0,46.834,1.28,82.9,2.3,3.0,0.5,Europe,Southern Europe
