Country Name,GDP per capita (current US$),Net official development assistance and official aid received (current US$),"Population, total"
Afghanistan,516.8665522,4206660156,38972230
Albania,5332.160475,309950012.2,2837849
Algeria,3337.252512,209589996.3,43451666
American Samoa,15501.52634,..,46189
Andorra,37207.49386,..,77700
Angola,1603.993477,110870002.7,33428486
Antigua and Barbuda,14787.63578,25780000.69,92664
Argentina,8496.424142,101279998.8,45376763
Armenia,4505.867364,105620002.7,2805608
Aruba,24487.86356,..,106585
Australia,51720.37076,..,25655289
Austria,48809.22688,..,8916864
Azerbaijan,4229.910649,121269996.6,10093121
"Bahamas, The",23862.71099,..,406471
Bahrain,23501.91946,..,1477469
Bangladesh,2233.305524,5373850098,167420951
Barbados,16643.80658,..,280693
Belarus,6542.797491,822809997.6,9379952
Belgium,45517.79493,..,11538604
Belize,5266.87616,69230003.36,394921
Benin,1237.949295,1049130005,12643123
Bermuda,107791.8864,..,63893
Bhutan,3009.924171,202210006.7,772506
Bolivia,3068.812555,338399993.9,11936162
Bosnia and Herzegovina,6012.062767,437470001.2,3318407
Botswana,5863.203241,78709999.08,2546402
Brazil,6794.489159,612429992.7,213196304
British Virgin Islands,..,..,30910
Brunei Darussalam,27179.41199,..,441725
Bulgaria,10129.81296,..,6934015
Burkina Faso,833.2443426,1730790039,21522626
Burundi,216.8267413,478850006.1,12220227
Cabo Verde,2924.101807,157429992.7,582640
Cambodia,1577.911747,1373209961,16396860
Cameroon,1539.130559,1399810059,26491087
Canada,43258.26387,..,38037204
Cayman Islands,83329.45877,..,67311
Central African Republic,435.4692516,829979980.5,5343020
Chad,643.7722213,1036650024,16644701
Channel Islands,..,..,171113
Chile,13094.45953,..,19300315
China,10408.66976,-573609985.4,1411100000
Colombia,5307.215228,1868719971,50930662
Comoros,1519.586823,131910003.7,806166
"Congo, Dem. Rep.",524.6666754,3377360107,92853164
"Congo, Rep.",1838.448139,214830001.8,5702174
Costa Rica,12132.87688,209610000.6,5123105
Cote d'Ivoire,2288.119498,1561949951,26811790
Croatia,14198.75396,..,4047680
Cuba,9499.590202,174479995.7,11300698
Curacao,16109.86175,..,154947
Cyprus,28036.18945,..,1237537
Czechia,22992.87938,..,10697858
Denmark,60915.4244,..,5831404
Djibouti,2917.996281,256140014.6,1090156
Dominica,7003.469891,64160003.66,71995
Dominican Republic,7167.919159,554830017.1,10999664
Ecuador,5645.19929,343160003.7,17588595
"Egypt, Arab Rep.",3398.801432,1564040039,107465134
El Salvador,3903.395839,626669982.9,6292731
Equatorial Guinea,6327.599012,5949999.809,1596049
Eritrea,..,60709999.08,3555868
Estonia,23595.24368,..,1329522
Eswatini,3372.895601,104959999.1,1180655
Ethiopia,918.6525941,5301660156,117190911
Faroe Islands,61980.29002,..,52415
Fiji,4864.117047,193639999.4,920422
Finland,49170.75215,..,5529543
France,39055.28293,..,67571107
French Polynesia,18910.38013,..,301920
Gabon,6680.08267,53200000.76,2292573
"Gambia, The",704.029916,300609985.4,2573995
Georgia,4255.742993,1040859985,3722716
Germany,46772.82535,..,83160871
Ghana,2176.579459,2204159912,32180401
Gibraltar,..,..,32709
Greece,17658.9473,..,10698599
Greenland,54571.20916,..,56367
Grenada,8437.566732,69510002.14,123663
Guam,34780.86166,..,169231
Guatemala,4604.576679,472359985.4,16858333
Guinea,1073.659337,723469970.7,13205153
Guinea-Bissau,710.2581385,147240005.5,2015828
Guyana,6863.074346,51869998.93,797202
Haiti,1283.14083,886849975.6,11306801
Honduras,2354.119614,1432630005,10121763
"Hong Kong SAR, China",46107.76528,..,7481000
Hungary,16120.98905,..,9750149
Iceland,59200.17794,..,366463
India,1910.421473,1794209961,1396387127
Indonesia,3894.272202,1232869995,271857970
"Iran, Islamic Rep.",2746.42045,235100006.1,87290193
Iraq,4332.304125,2359149902,42556984
Ireland,85420.19086,..,4985382
Isle of Man,..,..,84046
Israel,44846.7916,..,9215100
Italy,31911.03579,..,59438851
Jamaica,4897.265897,66610000.61,2820436
Japan,39918.16756,..,126261000
Jordan,4042.76935,3114000000,10928721
Kazakhstan,9121.637138,70400001.53,18755666
Kenya,1936.424589,3987860107,51985780
Kiribati,1430.551574,58020000.46,126463
"Korea, Dem. People's Rep.",..,56709999.08,25867467
"Korea, Rep.",31721.29891,..,51836239
Kosovo,4310.811183,543989990.2,1790133
Kuwait,24300.32944,..,4360444
Kyrgyz Republic,1182.5217,445109985.4,6579900
Lao PDR,2593.355097,528919982.9,7319399
Latvia,18207.13964,..,1900449
Lebanon,5599.957523,1417579956,5662923
Lesotho,989.8471707,170490005.5,2254100
Liberia,597.5296919,652099975.6,5087584
Libya,7568.042011,295989990.2,6653942
Liechtenstein,157754.9544,..,38756
Lithuania,20339.52127,..,2794885
Luxembourg,117370.4969,..,630419
"Macao SAR, China",37646.3162,..,676283
Madagascar,462.4042237,1289520020,28225177
Malawi,628.699482,1453130005,19377061
Malaysia,10160.78325,-5219999.79,33199993
Maldives,7282.358489,311160003.7,514438
Mali,822.906144,1565510010,21224040
Malta,28977.56557,..,515332
Marshall Islands,5567.972727,183059997.6,43413
Mauritania,1868.466574,644460022,4498604
Mauritius,9007.419102,334970001.2,1265740
Mexico,8655.000682,936059997.6,125998302
"Micronesia, Fed. Sts.",3639.412699,171630004.9,112106
Moldova,4500.624464,519559997.6,2635130
Monaco,182538.6383,..,36922
Mongolia,4041.174196,699159973.1,3294335
Montenegro,7677.152226,203880004.9,621306
Morocco,3258.121338,1828349976,36688772
Mozambique,449.9552098,2547300049,31178239
Myanmar,1477.45287,2870320068,53423198
Namibia,4251.172766,180100006.1,2489098
Nauru,9307.886768,28250000,12315
Nepal,1139.190277,1758400024,29348627
Netherlands,52162.57012,..,17441500
New Caledonia,34800.75951,..,271130
New Zealand,41596.5055,..,5090200
Nicaragua,1863.109257,599909973.1,6755895
Niger,564.8220018,1928449951,24333639
Nigeria,2074.613928,3375479980,208327405
North Macedonia,5965.450232,282239990.2,2072531
Northern Mariana Islands,..,..,49587
Norway,67329.67779,..,5379475
Oman,16707.62301,..,4543399
Pakistan,1322.315036,2590979980,227196741
Palau,14016.2475,66230003.36,17972
Panama,12569.17154,394670013.4,4294396
Papua New Guinea,2446.066306,1055030029,9749640
Paraguay,5353.348065,304239990.2,6618695
Peru,6056.343903,488700012.2,33304756
Philippines,3224.422551,1456219971,112190977
Poland,15816.9894,..,37899070
Portugal,22242.40642,..,10297081
Puerto Rico,31393.90737,..,3281538
Qatar,52315.66008,..,2760385
Romania,13047.43206,..,19265250
Russian Federation,10169.08691,..,144073139
Rwanda,774.6892594,1624449951,13146362
Samoa,4042.751224,166610000.6,214929
San Marino,45320.20872,..,34007
Sao Tome and Principe,2161.310196,91849998.47,218641
Saudi Arabia,19539.56581,..,35997107
Senegal,1490.203137,1610969971,16436120
Serbia,7733.802869,480100006.1,6899126
Seychelles,12808.98747,..,98462
Sierra Leone,493.4787775,836799987.8,8233970
Singapore,60729.45035,..,5685807
Sint Maarten (Dutch part),..,..,42310
Slovak Republic,19545.74282,..,5458827
Slovenia,25545.241,..,2102419
Solomon Islands,2222.465636,214259994.5,691191
Somalia,416.2177747,3039689941,16537016
South Africa,5741.643129,1202979980,58801927
South Sudan,..,1820319946,10606227
Spain,26959.67544,..,47365655
Sri Lanka,3893.841515,217559997.6,21919000
St. Kitts and Nevis,18566.09559,..,47642
St. Lucia,8458.162761,98110000.61,179237
St. Martin (French part),..,..,32553
St. Vincent and the Grenadines,8335.256476,75809997.56,104632
Sudan,608.3325195,2347719971,44440486
Suriname,4796.533314,27090000.15,607065
Sweden,52837.90398,..,10353442
Switzerland,85656.32267,..,8638167
Syrian Arab Republic,533.3852317,10005980469,20772595
