Entity,Year,Primary energy consumption per capita (kWh/person),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates)
Algeria,2020,14923.5556640625,10735.4,43451668
Argentina,2020,19489.865234375,19690.7,45036032
Australia,2020,62494.203125,48678.7,25670052
Austria,2020,44448.46484375,51857.7,8907780
Azerbaijan,2020,17494.951171875,13726.8,10284952
Bangladesh,2020,2664.44775390625,4871.4,167420944
Belarus,2020,30349.560546875,19186.8,9633745
Belgium,2020,58385.23046875,48769.7,11561716
Brazil,2020,15683.080078125,14064,213196304
Bulgaria,2020,27898.556640625,22379.1,6979181
Canada,2020,101731.53125,46064.3,37888704
Chile,2020,23537.9453125,23324.5,19300318
China,2020,28481.830078125,16315.8,1424929792
Colombia,2020,9463.1806640625,13448.9,50930656
Croatia,2020,22258.83203125,27077,4096872
Cyprus,2020,23424.076171875,38816.1,1237540
Czechia,2020,41282.71875,38511.3,10530951
Denmark,2020,30081.701171875,55819.9,5825638
Ecuador,2020,10335.3173828125,10329.2,17588596
Egypt,2020,9612.5888671875,11951.4,107465128
Estonia,2020,44261.19921875,35257.2,1329449
Finland,2020,56608.80078125,47154.4,5529468
France,2020,37692.0703125,42320.5,64480052
Germany,2020,40966.94921875,51423.2,83328992
Greece,2020,26558.4765625,27072.6,10512232
Hong Kong,2020,34426.15234375,56154,7500955
Hungary,2020,28011.142578125,31098.4,9750571
Iceland,2020,167358.359375,52375.7,366682
India,2020,6479.626953125,6165.7,1396387072
Indonesia,2020,8224.626953125,11445,271857984
Iran,2020,39762.52734375,12644.4,87290192
Iraq,2020,13716.458984375,9012.4,42556988
Ireland,2020,35422.26171875,90789.2,4946123
Israel,2020,33011.45703125,39056.4,8757487
Italy,2020,27215.712890625,39073.4,59500576
Japan,2020,37626.50390625,40232.2,125244760
Kazakhstan,2020,42798.63671875,25363.2,18979250
Kuwait,2020,104990.765625,44847.1,4360451
Latvia,2020,21574.96875,30100.3,1897057
Lithuania,2020,25705.791015625,37107.1,2820269
Luxembourg,2020,64694.06640625,112557.3,630401
Malaysia,2020,35205.984375,26471.7,33199988
Mexico,2020,13853.501953125,17852.4,125998296
Morocco,2020,6505.1630859375,6986.3,36688768
Netherlands,2020,54869.12109375,54324.4,17434562
New Zealand,2020,49609.375,42774.7,5061130
North America,2020,52011.91015625,58496.8,594263186
North Macedonia,2020,12981.953125,15931.4,2111078
Norway,2020,103128.3828125,63548,5379836
Oman,2020,72628.5703125,29502.1,4543406
Pakistan,2020,4420.59619140625,4562.6,227196736
Peru,2020,8754.240234375,11260.8,33304768
Philippines,2020,4653.69970703125,7953.6,112190984
Poland,2020,29967.81640625,32398.7,38428368
Portugal,2020,25975.78515625,31961.8,10298186
Qatar,2020,178662,85290.5,2760390
Romania,2020,19199.23046875,28870.9,19442040
Russia,2020,54971.953125,26456.4,145617328
Saudi Arabia,2020,84697.9140625,44328.2,35997108
Singapore,2020,163306.546875,93397,5909874
Slovakia,2020,33126.2421875,30509.8,5456681
Slovenia,2020,37223.421875,37050.5,2117648
South Africa,2020,23196.705078125,12665.8,58801928
South Korea,2020,64942.35546875,42335.9,51844688
Spain,2020,30787.166015625,36210.9,47363808
Sri Lanka,2020,4821.7939453125,12536.9,21715076
Sweden,2020,61217.20703125,50923.1,10368968
Switzerland,2020,35699.67578125,68755.4,8638609
Thailand,2020,20175.748046875,17284.7,71475664
Trinidad and Tobago,2020,120252.578125,23722.5,1518142
Turkey,2020,21215.16015625,28393.5,84135432
Ukraine,2020,20992.607421875,12375.9,43909664
United Arab Emirates,2020,119625.15625,63299.4,9287286
United Kingdom,2020,28889.13671875,42675.8,67059472
United States,2020,74299.171875,59919.8,335942016
Uzbekistan,2020,15566.9521484375,7331.9,33526662
Vietnam,2020,12050.384765625,8200.3,96648680
World,2020,20099.318359375,16185.2,7840952832
