""
Discipline,Sub-category,Enrollments
Social Sciences,Psychology,300
Social Sciences,Sociology,150
Social Sciences,Geography,120
Natural Sciences,Biology,200
Natural Sciences,Chemistry,180
Natural Sciences,Physics,160
Engineering & Technology,Computer Science,310
Engineering & Technology,Mechanical Engineering,220
Engineering & Technology,Electrical Engineering,210
Arts & Humanities,History,130
Arts & Humanities,Philosophy,90
Arts & Humanities,Literature,110
Mathematics & Statistics,Mathematics,250
Mathematics & Statistics,Statistics,190
Business & Economics,Economics,170
Business & Economics,Business Administration,280
Business & Economics,Accounting,160
Health Sciences,Medicine,260
Health Sciences,Nursing,240
Health Sciences,Pharmacy,140
""
