""
name,value
Engineering,1200
Engineering/Civil Engineering,300
Engineering/Mechanical Engineering,350
Engineering/Electrical Engineering,250
Engineering/Computer Science,300
Science,800
Science/Biology,300
Science/Physics,200
Science/Chemistry,150
Science/Earth Science,150
Humanities,500
Humanities/History,150
Humanities/Languages,175
Humanities/Literature,175
Business,900
Business/Economics,400
Business/Accounting,250
Business/Marketing,250
Art,400
Art/Performing Arts,100
Art/Visual Arts,150
Art/Design,150
Health,600
Health/Medicine,250
Health/Nursing,200
Health/Pharmacy,150
Education,300
Education/Primary Education,150
Education/Secondary Education,150
""
