""
Category,Subcategory,Value
Art & Design,Painting,120
Art & Design,Sculpture,80
Art & Design,Graphic Design,150
Art & Design,Photography,90
Art & Design,Architecture,130
Art & Design,Fashion Design,110
Art & Design,Interior Design,70
Art & Design,Industrial Design,95
Art & Design,Textile Design,85
Art & Design,Jewelry Design,75
Art & Design,Animation,65
Art & Design,Digital Art,125
Art & Design,Ceramics,60
Art & Design,Printmaking,50
Art & Design,Illustration,100
Art & Design,Calligraphy,55
Art & Design,Film,105
Art & Design,Theater Design,115
Art & Design,Set Design,45
""
