""
Category,Subcategory,Value
Art & Design,Painting,800
Art & Design,Sculpture,600
Art & Design,Architecture,750
Art & Design,Graphic Design,500
Art & Design,Photography,650
Art & Design,Digital Art,700
Science & Nature,Biology,1200
Science & Nature,Physics,1100
Science & Nature,Chemistry,950
Science & Nature,Astronomy,900
Science & Nature,Geology,800
Science & Nature,Ecology,850
Health & Psychology,Mental Health,500
Health & Psychology,Nutrition,600
Health & Psychology,Fitness,700
Health & Psychology,Medicine,800
Health & Psychology,Public Health,750
Health & Psychology,Wellness,650
Culture & Society,Anthropology,550
Culture & Society,Sociology,700
Culture & Society,Political Science,800
Culture & Society,History,950
Culture & Society,Philosophy,600
Culture & Society,Religion,650
""
