""
Category,Subcategory,Value
Food & Nutrition,Fruits,40
Food & Nutrition,Vegetables,50
Food & Nutrition,Dairy,30
Food & Nutrition,Grains,20
Food & Nutrition,Meat,25
Food & Nutrition,Sweets,10
Food & Nutrition,Beverages,35
Food & Nutrition,Seafood,15
Food & Nutrition,Snacks,5
Food & Nutrition,Condiments,8
Food & Nutrition,Nuts,12
Food & Nutrition,Herbs,7
Food & Nutrition,Spices,18
Food & Nutrition,Baked Goods,22
Food & Nutrition,Oils,13
Food & Nutrition,Legumes,16
Food & Nutrition,Frozen Foods,9
Food & Nutrition,Canned Foods,14
Food & Nutrition,Prepared Foods,6
Food & Nutrition,Baby Foods,11
Food & Nutrition,Organic Foods,19
""
