""
Category,Name,Value
Art & Design,Modern Art,45
Art & Design,Digital Art,38
Art & Design,Sculpture,27
Art & Design,Illustration,19
Art & Design,Architecture,34
Art & Design,Photography,22
Art & Design,Typography,18
Art & Design,Fashion Design,30
Art & Design,Graphic Design,25
Art & Design,Textile Design,17
Art & Design,Interior Design,28
Art & Design,Product Design,21
Art & Design,Animation,26
Art & Design,Ceramics,20
Art & Design,Jewelry Design,16
Art & Design,Printmaking,14
Art & Design,Painting,29
Art & Design,Calligraphy,13
Art & Design,Landscape Design,23
Art & Design,Exhibition Design,24
Art & Design,Game Design,31
""
