""
Category,Subcategory,Value
Education & Learning,Primary Education,10
Education & Learning,Secondary Education,15
Education & Learning,Higher Education,20
Education & Learning,Special Education,5
Education & Learning,Adult Education,7
Education & Learning,Vocational Training,8
Education & Learning,Online Courses,12
Education & Learning,Tutoring Services,6
Education & Learning,Language Learning,11
Education & Learning,STEM Education,9
Education & Learning,Arts Education,14
Education & Learning,Physical Education,13
Education & Learning,Educational Technology,16
Education & Learning,Early Childhood Education,4
""
