""
Name,Value
Leonardo da Vinci,250
Michelangelo,300
Raphael,220
Vincent van Gogh,275
Pablo Picasso,320
Claude Monet,310
Rembrandt,290
Georgia O'Keeffe,260
Frida Kahlo,280
Andy Warhol,330
Jackson Pollock,270
Henri Matisse,240
Salvador Dalí,295
Edvard Munch,255
Gustav Klimt,310
Johannes Vermeer,290
Marc Chagall,265
Pierre-Auguste Renoir,285
Edgar Degas,275
Paul Cézanne,305
Amedeo Modigliani,295
Wassily Kandinsky,310
Paul Klee,275
Henri Rousseau,260
David Hockney,340
Rene Magritte,280
Grant Wood,250
Jan van Eyck,295
Giorgio de Chirico,265
Giacomo Balla,240
""
