""
Category,Subcategory,Value
Science & Nature,Quantum Physics,150
Science & Nature,Genetics,120
Science & Nature,Astronomy,180
Science & Nature,Botany,90
Science & Nature,Zoology,70
Science & Nature,Geology,160
Science & Nature,Ecology,130
Science & Nature,Oceanography,110
Science & Nature,Meteorology,140
Science & Nature,Environmental Science,100
Science & Nature,Anthropology,80
Science & Nature,Paleontology,60
Science & Nature,Neuroscience,200
Science & Nature,Microbiology,170
Science & Nature,Marine Biology,190
""
