""
Category,Name,Value
Art & Design,Painting,30
Art & Design,Sculpture,20
Art & Design,Photography,25
Science & Nature,Physics,40
Science & Nature,Chemistry,35
Science & Nature,Biology,50
Health & Psychology,Mental Health,60
Health & Psychology,Nutrition,45
Health & Psychology,Exercise,55
Culture & Society,History,30
Culture & Society,Politics,25
Culture & Society,Philosophy,20
Economics & Finance,Investment,35
Economics & Finance,Economics,40
Economics & Finance,Banking,30
Education & Learning,Schooling,50
Education & Learning,Higher Education,45
Education & Learning,Online Learning,60
Entertainment & Leisure,Movies,55
Entertainment & Leisure,Music,50
Entertainment & Leisure,Games,60
""
