""
Category,Value
World War II,400
Ancient Civilizations,350
Medieval Europe,300
Renaissance,280
Industrial Revolution,260
Modern History,250
Colonial America,220
The Enlightenment,200
Greek Mythology,180
Roman Empire,170
Cold War,160
American Civil War,150
French Revolution,140
Viking Age,130
Great Depression,120
World War I,110
Ancient Egypt,100
Ming Dynasty,90
Persian Empire,80
History of Science,70
History of Art,60
History of Music,50
History of Technology,40
History of Literature,30
History of Religion,20
History of Medicine,10
""
