""
Category,Subcategory,Value
Art & Design,Painting,50
Art & Design,Sculpture,30
Art & Design,Digital Art,20
Art & Design,Photography,40
Art & Design,Fashion Design,25
Science & Nature,Botany,60
Science & Nature,Zoology,45
Science & Nature,Astronomy,35
Science & Nature,Geology,55
Science & Nature,Ecology,65
Health & Psychology,Mental Health,70
Health & Psychology,Nutrition,80
Health & Psychology,Fitness,90
Health & Psychology,Diseases,75
Health & Psychology,Healthcare,85
Culture & Society,Anthropology,40
Culture & Society,Sociology,50
Culture & Society,History,60
Culture & Society,Religion,70
Culture & Society,Ethics,55
""
