""
Category,Subcategory,Value
Art & Design,Painting,120
Art & Design,Sculpture,95
Art & Design,Photography,80
Art & Design,Graphic Design,70
Art & Design,Architecture,60
Art & Design,Digital Art,50
Art & Design,Crafts,40
Art & Design,Drawing,30
Art & Design,Illustration,20
Art & Design,Fashion Design,10
Science & Nature,Astronomy,100
Science & Nature,Biology,90
Science & Nature,Chemistry,80
Science & Nature,Physics,70
Science & Nature,Geology,60
Science & Nature,Ecology,50
Science & Nature,Environment,40
Science & Nature,Marine Biology,30
Science & Nature,Climate Change,20
Science & Nature,Botany,10
""
