""
name,value
Engineering,4000
Electrical Engineering,1200
Mechanical Engineering,1000
Civil Engineering,800
Chemical Engineering,600
Computer Science,3500
Algorithms,900
Machine Learning,800
Databases,600
Operating Systems,500
Humanities,1500
Literature,600
Philosophy,500
History,400
Business,3000
Accounting,800
Marketing,800
Finance,700
International Business,700
Health Sciences,2000
Nursing,700
Biomedicine,600
Dentistry,400
Physical Therapy,300
Social Sciences,2500
Sociology,800
Psychology,700
Political Science,500
Anthropology,500
""
