""
Continent,Attraction,Popularity
North America,Grand Canyon,9.8
North America,Yellowstone National Park,8.5
North America,Niagara Falls,8.7
North America,Statue of Liberty,9.3
South America,Machu Picchu,9.6
South America,Christ the Redeemer,9.1
South America,Iguazu Falls,8.8
South America,Galapagos Islands,8.9
Europe,Eiffel Tower,9.7
Europe,Colosseum,9.2
Europe,Louvre Museum,9.5
Europe,Buckingham Palace,8.6
Asia,Great Wall of China,9.9
Asia,Taj Mahal,9.4
Asia,Mount Fuji,8.4
Asia,Bali,9.0
Africa,Safari in Serengeti,8.3
Africa,Pyramids of Giza,9.0
Africa,Victoria Falls,8.7
Africa,Marrakech Medina,8.5
Australia,Great Barrier Reef,9.3
Australia,Sydney Opera House,9.2
Australia,Uluru,8.8
Australia,Blue Mountains,8.4
""
