""
Category,Subcategory,Value
Science & Nature,Astronomy,500
Science & Nature,Botany,600
Science & Nature,Zoology,450
Science & Nature,Geology,350
Science & Nature,Oceanography,300
Science & Nature,Meteorology,400
Science & Nature,Ecology,550
Science & Nature,Physics,700
Science & Nature,Chemistry,650
Science & Nature,Biology,750
Science & Nature,Environmental Science,500
Science & Nature,Space Exploration,600
Science & Nature,Astrophysics,550
Science & Nature,Genetics,450
Science & Nature,Marine Biology,350
Science & Nature,Paleontology,300
Science & Nature,Seismology,400
Science & Nature,Climatology,500
Science & Nature,Volcanology,600
Science & Nature,Limnology,550
""
