""
name,value,color
Stocks,30001,#FFD700
Stocks-Technology,13000,#FFB14E
Stocks-Healthcare,7000,#FA8775
Stocks-Finance,5000,#EA5F94
Stocks-Consumer Goods,4001,#CD34B5
Bonds,20000,#9D02D7
Bonds-Government,11000,#0000FF
Bonds-Corporate,7000,#4A235A
Bonds-Municipal,3000,#154360
Commodities,15000,#45CEA2
Commodities-Metals,5000,#66FF66
Commodities-Energy,6000,#FF4040
Commodities-Agriculture,4000,#7FC97F
Real Estate,10000,#FDC086
Real Estate-Residential,4000,#FFFF99
Real Estate-Commercial,6000,#386CB0
Currencies,5000,#F0027F
Currencies-Dollar,1000,#BF5B17
Currencies-Euro,1500,#6666FF
Currencies-Yen,1500,#7F7F7F
Currencies-Pound,1000,#FF7F00
Currencies-Franc,1000,#FFFF33
""
