""
Category,Name,Value
Art & Design,Painting,100
Art & Design,Sculpture,80
Art & Design,Photography,60
Art & Design,Graphic Design,90
Art & Design,Architecture,50
Art & Design,Digital Art,70
Art & Design,Ceramics,40
Art & Design,Textile Art,30
Art & Design,Performance Art,20
Art & Design,Installations,10
Art & Design,Drawing,25
Art & Design,Printmaking,35
Art & Design,Illustration,45
Art & Design,Calligraphy,55
Art & Design,Fashion Design,65
Art & Design,Interior Design,75
Art & Design,Landscape Design,85
Art & Design,Jewelry Design,95
Art & Design,Furniture Design,105
Art & Design,Animation,110
""
