""
Category,Subcategory,Value
Art & Design,Graphic Design,20
Art & Design,Illustration,15
Art & Design,Painting,25
Art & Design,Sculpture,10
Art & Design,Photography,18
Art & Design,Architecture,22
Art & Design,Fashion Design,14
Art & Design,Interior Design,19
Art & Design,Animation,13
Art & Design,Product Design,17
Art & Design,Textile Design,16
Art & Design,Industrial Design,21
Art & Design,Landscape Design,12
Art & Design,Jewelry Design,11
Art & Design,Ceramic Design,9
Art & Design,Digital Art,24
Art & Design,Calligraphy,8
Art & Design,Printmaking,7
Art & Design,Art Education,23
""
