""
Category,Subcategory,Value
Art & Design,Painting,120
Art & Design,Sculpture,98
Art & Design,Digital Art,130
Art & Design,Photography,80
Art & Design,Fashion Design,65
Art & Design,Interior Design,110
Art & Design,Graphic Design,75
Art & Design,Architecture,140
Art & Design,Textile Design,60
Art & Design,Ceramics,50
Art & Design,Jewelry Design,55
Art & Design,Calligraphy,45
Art & Design,Illustration,90
Art & Design,Product Design,100
Art & Design,Animation,85
Art & Design,Set Design,70
Art & Design,Lighting Design,95
Art & Design,Industrial Design,105
Art & Design,Landscape Design,115
""
