""
Category,Subcategory,Value
Art & Design,Painting,120
Art & Design,Sculpture,90
Art & Design,Photography,75
Art & Design,Graphic Design,150
Art & Design,Digital Art,180
Science & Nature,Biology,200
Science & Nature,Physics,150
Science & Nature,Chemistry,170
Science & Nature,Geology,110
Science & Nature,Astronomy,140
Health & Psychology,Mental Health,95
Health & Psychology,Physical Health,180
Health & Psychology,Nutrition,120
Health & Psychology,Psychotherapy,80
Health & Psychology,Public Health,160
""
