Month,Fiction,Non-Fiction,E-Books,Audiobooks,Textbooks
Jan 2021,1500,2500,1000,700,300
Feb 2021,1700,2400,1200,800,400
Mar 2021,1600,2600,1100,900,300
Apr 2021,1800,2700,1300,850,450
May 2021,1900,2800,1400,900,500
Jun 2021,2000,2900,1500,950,550
Jul 2021,2100,3000,1600,1000,600
Aug 2021,2200,3100,1700,1100,650
Sep 2021,2300,3200,1800,1200,700
Oct 2021,2400,3300,1900,1300,750
Nov 2021,2500,3400,2000,1400,800
Dec 2021,2600,3500,2100,1500,850
Jan 2022,2700,3600,2200,1600,900
Feb 2022,2800,3700,2300,1700,950
Mar 2022,2900,3800,2400,1800,1000
Apr 2022,3000,3900,2500,1900,1050
May 2022,3100,4000,2600,2000,1100
Jun 2022,3200,4100,2700,2100,1150
Jul 2022,3300,4200,2800,2200,1200
Aug 2022,3400,4300,2900,2300,1250
Sep 2022,3500,4400,3000,2400,1300
Oct 2022,3600,4500,3100,2500,1350
Nov 2022,3700,4600,3200,2600,1400
Dec 2022,3800,4700,3300,2700,1450
