Year,Winter,Spring,Summer,Autumn
2000,2.0,12.0,24.0,14.0
2001,2.1,12.2,24.5,14.1
2002,2.2,12.5,25.0,14.3
2003,2.3,12.7,25.3,14.6
2004,2.5,13.0,25.5,14.8
2005,2.6,13.3,26.0,15.0
2006,2.7,13.5,26.2,15.2
2007,2.8,13.8,26.5,15.5
2008,2.9,14.0,26.7,15.7
2009,3.0,14.2,27.0,15.9
2010,3.1,14.5,27.3,16.1
2011,3.2,14.7,27.5,16.3
2012,3.3,15.0,27.7,16.5
2013,3.4,15.2,28.0,16.7
2014,3.5,15.5,28.2,16.9
2015,3.7,15.7,28.5,17.2
2016,3.8,16.0,28.7,17.5
2017,4.0,16.2,29.0,17.7
2018,4.1,16.5,29.2,18.0
2019,4.3,16.7,29.5,18.2
2020,4.5,17.0,30.0,18.5
