Year,Technology,Healthcare,Automotive,Retail
2000,120,80,200,150
2001,150,85,210,155
2002,160,90,220,160
2003,180,95,230,165
2004,200,100,240,170
2005,220,110,250,175
2006,230,115,260,180
2007,240,120,270,185
2008,250,125,280,190
2009,200,130,270,195
2010,210,135,260,200
2011,220,140,250,210
2012,230,145,240,220
2013,240,150,230,230
2014,250,155,220,240
2015,260,160,210,250
2016,270,165,220,260
2017,280,170,230,270
2018,300,175,240,280
2019,320,180,250,290
2020,400,200,260,300
2021,450,210,270,310
