Year,CO2 Emissions,Renewable Energy,Deforestation,Marine Pollution,Recycling Rate,Green Policies
2000,32000,200,500,300,150,100
2001,32500,210,480,305,155,150
2002,33000,220,460,310,160,200
2003,34000,230,450,320,165,250
2004,35000,240,440,330,170,300
2005,36000,250,430,340,180,350
2006,37000,260,415,345,190,400
2007,38000,270,400,350,200,440
2008,39000,285,395,360,210,480
2009,39500,300,385,365,220,500
2010,40000,320,370,370,230,520
2011,40500,330,350,380,240,540
2012,41000,340,340,385,250,560
2013,42000,350,330,390,260,580
2014,43000,365,320,400,270,600
2015,44000,380,310,410,285,620
2016,45000,400,300,420,300,640
2017,46000,420,290,430,315,660
2018,47000,440,280,440,330,680
2019,48000,460,270,450,345,700
2020,49000,480,260,460,360,720
2021,50000,500,250,470,375,740
2022,51000,520,240,480,390,760
