Year,CO2,CH4,N2O,CFC-12,HCFC-22
2000,315,722,268,533,140
2001,318,725,271,535,142
2002,320,728,273,538,145
2003,323,732,275,540,148
2004,325,735,277,543,150
2005,328,738,280,545,153
2006,331,740,283,548,156
2007,334,743,285,550,158
2008,336,745,288,553,161
2009,339,748,290,555,163
2010,341,750,293,558,166
2011,344,753,295,560,169
2012,347,755,298,562,172
2013,350,758,300,565,174
2014,352,761,303,567,177
2015,355,764,305,570,180
2016,358,766,308,572,183
2017,361,769,310,575,185
2018,364,771,313,577,188
2019,366,774,316,580,191
2020,369,776,318,582,193
