Sport Type,Skill Level,Gender,Hours
Running,Beginner,Male,2
Running,Beginner,Female,3
Running,Intermediate,Male,4
Running,Intermediate,Female,5
Running,Expert,Male,6
Running,Expert,Female,7
Swimming,Beginner,Male,2
Swimming,Beginner,Female,2
Swimming,Intermediate,Male,4
Swimming,Intermediate,Female,4
Swimming,Expert,Male,6
Swimming,Expert,Female,6
Cycling,Beginner,Male,2
Cycling,Beginner,Female,2
Cycling,Intermediate,Male,3
Cycling,Intermediate,Female,3
Cycling,Expert,Male,5
Cycling,Expert,Female,5
Weight Lifting,Beginner,Male,3
Weight Lifting,Beginner,Female,2
Weight Lifting,Intermediate,Male,4
Weight Lifting,Intermediate,Female,3
Weight Lifting,Expert,Male,6
Weight Lifting,Expert,Female,4
Yoga,Beginner,Male,2
Yoga,Beginner,Female,3
Yoga,Intermediate,Male,3
Yoga,Intermediate,Female,4
Yoga,Expert,Male,4
Yoga,Expert,Female,5
