Year,Beaches,Mountains,Museums,Theme Parks,Urban Areas,Nature Reserves
2000,50,35,20,40,45,25
2001,55,37,22,42,47,27
2002,57,40,23,44,48,29
2003,60,42,24,47,50,30
2004,62,45,26,49,53,32
2005,65,47,28,50,55,35
2006,68,49,29,52,57,36
2007,70,52,31,54,60,38
2008,72,55,33,56,62,40
2009,75,57,35,59,63,41
2010,78,60,36,61,65,43
2011,80,62,38,64,68,45
2012,82,64,40,66,70,47
2013,85,66,42,69,72,49
2014,87,69,43,71,74,51
2015,90,71,45,73,76,53
2016,92,73,47,75,78,55
2017,95,75,50,78,80,58
2018,97,78,52,80,82,60
2019,100,80,54,83,85,63
2020,102,82,56,85,87,65
