Year,Apple,Google,Microsoft
2015-Q1,58.0,17.3,21.7
2015-Q2,49.6,17.7,22.2
2015-Q3,51.5,18.7,21.3
2015-Q4,75.9,21.3,23.8
2016-Q1,50.6,20.3,22.1
2016-Q2,42.4,21.5,21.6
2016-Q3,46.9,22.4,20.4
2016-Q4,78.4,26.0,25.8
2017-Q1,52.9,24.7,23.5
2017-Q2,45.4,26.0,23.3
2017-Q3,52.6,27.8,24.5
2017-Q4,88.3,32.3,28.9
2018-Q1,61.1,31.1,26.8
2018-Q2,53.3,32.7,29.1
2018-Q3,62.9,33.7,29.6
2018-Q4,84.3,39.3,32.5
2019-Q1,58.0,36.3,30.6
2019-Q2,53.8,38.9,33.7
2019-Q3,64.0,40.5,33.1
2019-Q4,91.8,46.1,36.9
2020-Q1,58.3,41.2,35.0
2020-Q2,59.7,38.3,38.0
2020-Q3,64.7,46.2,37.2
2020-Q4,111.4,56.9,43.1
2021-Q1,89.6,55.3,41.7
2021-Q2,81.4,61.9,46.2
2021-Q3,83.4,65.1,45.3
2021-Q4,123.9,75.3,51.7
