Date,Transportation,Energy,Agriculture,Industrial,Residential
2023-01-01,30.2,40.2,15.4,28.1,10.3
2023-01-02,30.5,40.7,15.1,28.4,10.5
2023-01-03,30.7,40.9,15.5,28.2,10.6
2023-01-04,30.6,40.6,15.8,28.0,10.7
2023-01-05,30.8,40.8,15.7,28.3,10.6
2023-01-06,30.5,40.4,15.2,28.5,10.8
2023-01-07,30.4,40.3,15.3,28.3,10.7
2023-01-08,30.2,40.2,15.6,28.1,10.4
2023-01-09,30.6,40.5,15.9,28.2,10.3
2023-01-10,30.9,40.7,15.5,28.4,10.5
2023-01-11,31.0,40.9,15.2,28.6,10.6
2023-01-12,30.8,40.6,15.7,28.7,10.7
2023-01-13,30.7,40.8,15.3,28.8,10.5
2023-01-14,30.6,40.5,15.8,28.2,10.8
2023-01-15,30.5,40.7,15.4,28.1,10.7
2023-01-16,30.3,40.4,15.6,27.9,10.5
2023-01-17,30.4,40.3,15.5,28.0,10.4
2023-01-18,30.2,40.1,15.7,28.3,10.6
2023-01-19,30.6,40.2,15.5,28.5,10.3
2023-01-20,30.7,40.3,15.3,28.6,10.7
2023-01-21,30.8,40.4,15.6,28.4,10.5
2023-01-22,30.5,40.6,15.2,28.7,10.8
2023-01-23,30.4,40.7,15.3,28.1,10.6
2023-01-24,30.2,40.8,15.1,28.0,10.7
2023-01-25,30.6,40.9,15.7,28.2,10.8
2023-01-26,30.8,41.0,15.5,28.5,10.6
2023-01-27,30.9,41.1,15.4,28.6,10.7
2023-01-28,31.0,41.2,15.6,28.3,10.5
2023-01-29,31.1,41.3,15.8,28.7,10.4
2023-01-30,31.2,41.4,15.9,28.8,10.6
2023-01-31,31.3,41.5,15.7,29.0,10.7
