Year,Manufacturing,Services,Agriculture,Technology,Construction
2000,300,450,120,150,80
2001,310,460,125,160,85
2002,320,470,130,170,90
2003,330,480,135,180,95
2004,340,490,140,190,100
2005,350,500,145,200,105
2006,360,520,150,210,110
2007,370,540,155,220,115
2008,380,560,160,230,120
2009,390,580,165,240,125
2010,400,600,170,250,130
2011,410,610,175,260,135
2012,420,620,180,270,140
2013,430,630,185,280,145
2014,440,640,190,290,150
2015,450,650,195,300,155
2016,460,660,200,310,160
2017,470,670,205,320,165
2018,480,680,210,330,170
2019,490,690,215,340,175
2020,500,700,220,350,180
