Quarter,Apple,Google,Microsoft
Q1 2015,58.0,17.3,21.7
Q2 2015,49.6,17.7,22.2
Q3 2015,51.1,18.7,21.3
Q4 2015,75.9,21.3,23.8
Q1 2016,50.6,20.3,22.1
Q2 2016,42.4,21.5,20.6
Q3 2016,46.9,22.4,21.9
Q4 2016,78.4,26.1,25.8
Q1 2017,52.9,24.7,23.2
Q2 2017,45.4,26.0,24.7
Q3 2017,52.6,27.8,24.5
Q4 2017,88.3,32.3,28.9
Q1 2018,61.1,31.1,26.8
Q2 2018,53.3,32.7,28.1
Q3 2018,62.9,33.7,29.1
Q4 2018,84.3,39.1,32.5
Q1 2019,58.0,36.3,30.6
Q2 2019,53.8,38.9,33.7
Q3 2019,64.0,40.5,33.1
Q4 2019,91.8,46.1,36.9
Q1 2020,58.3,41.2,35.0
Q2 2020,59.7,38.3,38.0
Q3 2020,64.7,46.2,37.2
Q4 2020,111.4,56.9,43.1
Q1 2021,89.6,55.3,41.7
