Day,Fruits,Vegetables,Grains,Proteins,Dairy,Sweets
01,650,300,800,600,500,450
02,680,350,820,590,520,430
03,620,310,780,610,515,410
04,610,320,790,620,510,420
05,640,330,810,630,505,415
06,660,340,800,620,495,425
07,630,310,830,615,520,440
08,640,315,840,625,530,455
09,650,325,850,615,540,435
10,620,305,860,610,500,445
11,630,320,870,605,510,460
12,640,330,880,600,520,425
13,660,310,890,620,530,435
14,670,315,900,630,510,450
15,680,325,910,640,525,460
16,690,335,920,650,515,440
17,700,345,930,660,530,450
18,710,355,940,670,540,460
19,720,365,950,680,550,470
20,730,375,960,690,560,480
21,740,380,970,700,570,490
22,750,385,980,710,580,500
23,760,390,990,720,590,510
24,770,395,1000,730,600,520
25,780,400,1010,740,610,530
26,790,405,1020,750,620,540
27,800,410,1030,760,630,550
28,810,415,1040,770,640,560
29,820,420,1050,780,650,570
30,830,425,1060,790,660,580
