Month,Organic,Direct,Social,Paid
Jan 2020,3000,1500,800,500
Feb 2020,3200,1550,850,520
Mar 2020,3400,1600,900,540
Apr 2020,3600,1650,950,560
May 2020,3800,1700,1000,580
Jun 2020,4000,1750,1100,600
Jul 2020,4200,1800,1150,620
Aug 2020,4400,1850,1200,640
Sep 2020,4600,1900,1250,660
Oct 2020,4800,1950,1300,680
Nov 2020,5000,2000,1350,700
Dec 2020,5200,2050,1400,720
Jan 2021,5400,2100,1450,740
Feb 2021,5600,2150,1500,760
Mar 2021,5800,2200,1550,780
Apr 2021,6000,2250,1600,800
May 2021,6200,2300,1650,820
Jun 2021,6400,2350,1700,840
Jul 2021,6600,2400,1750,860
Aug 2021,6800,2450,1800,880
Sep 2021,7000,2500,1850,900
Oct 2021,7200,2550,1900,920
Nov 2021,7400,2600,1950,940
Dec 2021,7600,2650,2000,960
