Month,Apparel,Electronics,Home Goods,Outdoor
Jan,220,150,90,95
Feb,250,160,85,100
Mar,240,170,92,105
Apr,260,180,95,110
May,280,190,100,115
Jun,270,200,105,120
Jul,300,210,110,130
Aug,310,220,115,125
Sep,305,210,120,135
Oct,315,230,125,145
Nov,320,240,130,150
Dec,330,250,140,160
Jan,340,260,150,165
Feb,310,270,135,150
Mar,300,280,140,155
Apr,290,290,145,160
May,315,295,142,165
Jun,325,300,150,170
Jul,330,310,155,175
Aug,335,320,160,180
Sep,325,315,165,185
Oct,320,310,170,190
Nov,310,305,175,195
Dec,300,300,180,200
