Country,Education Investment,GDP,Tech Innovation
Albania,3.5,3300,20
Belgium,6.2,43000,60
Chile,5.1,15000,40
Denmark,7.6,60000,82
Egypt,3.8,2500,22
Finland,6.9,49000,75
Ghana,5.6,2200,15
Hungary,4.9,16000,45
India,3.3,2000,35
Japan,3.5,39000,90
Kenya,5.2,1800,25
Luxembourg,6.4,105000,70
Malaysia,4.7,11000,50
Nigeria,2.1,3000,10
Oman,6.8,15000,30
Poland,5.3,15000,40
Qatar,2.7,70000,55
Russia,3.9,10000,65
Sweden,7.3,53000,85
Turkey,4.1,9000,45
United Kingdom,6.0,42000,78
Vietnam,4.5,3000,28
Yemen,0.7,600,5
Zambia,7.8,1300,15
