Region,Education Investment (%),Literacy Rate (%),Youth Population
Abletown,7.5,92,23000
Brightsville,6.2,88,48000
Cleverland,9.0,98,55000
Doverport,5.4,85,29000
Eagleton,7.8,90,31000
Farside,8.3,93,15000
Gleamtown,6.7,89,27000
Hightower,6.9,90,52000
Innova,8.5,95,37000
Jubilee,7.2,91,43000
Kingswell,5.9,84,19000
Laketown,8.1,97,33000
Meadowvale,6.5,88,41000
Noblecrest,7.7,94,22500
Optima,7.9,96,50000
Pristine,6.0,87,17500
Quayville,8.7,99,46000
Riversend,5.6,82,24000
Starbright,7.4,93,53000
Timberwood,7.0,89,39000
Utopia,6.3,86,26000
Verdant,8.2,94,42000
Willowbank,6.1,85,37000
Xanadu,7.1,90,49000
Yonder,8.6,97,31000
Zenith,5.8,83,21000
