Month,Product Type,Sales,Profit
January,Electronics,100,25
January,Clothing,120,30
January,Furniture,80,20
January,Toys,60,15
February,Electronics,110,28
February,Clothing,130,33
February,Furniture,90,22
February,Toys,70,18
March,Electronics,105,26
March,Clothing,125,31
March,Furniture,85,21
March,Toys,65,16
April,Electronics,115,29
April,Clothing,135,34
April,Furniture,95,23
April,Toys,75,19
May,Electronics,120,30
May,Clothing,140,35
May,Furniture,100,24
May,Toys,80,20
June,Electronics,130,32
June,Clothing,150,38
June,Furniture,110,26
June,Toys,90,22
