Year,Users,Country
2007,122,China
2007,78,India
2007,244,USA
2008,145,China
2008,84,India
2008,265,USA
2009,171,China
2009,92,India
2009,275,USA
2010,200,China
2010,101,India
2010,297,USA
2011,230,China
2011,115,India
2011,315,USA
2012,265,China
2012,130,India
2012,330,USA
2013,300,China
2013,150,India
2013,345,USA
2014,340,China
2014,165,India
2014,355,USA
2015,380,China
2015,180,India
2015,375,USA
2016,410,China
2016,200,India
2016,392,USA
2017,450,China
2017,225,India
2017,405,USA
2018,480,China
2018,250,India
2018,420,USA
2019,500,China
2019,275,India
2019,440,USA
2020,520,China
2020,295,India
2020,450,USA
