Year,EVs Sold,Region
2007,320,Europe
2007,120,North America
2007,50,Asia
2008,350,Europe
2008,130,North America
2008,55,Asia
2009,370,Europe
2009,150,North America
2009,60,Asia
2010,400,Europe
2010,170,North America
2010,65,Asia
2011,420,Europe
2011,180,North America
2011,70,Asia
2012,440,Europe
2012,190,North America
2012,80,Asia
2013,460,Europe
2013,200,North America
2013,85,Asia
2014,480,Europe
2014,210,North America
2014,90,Asia
2015,500,Europe
2015,220,North America
2015,95,Asia
2016,520,Europe
2016,230,North America
2016,100,Asia
2017,540,Europe
2017,240,North America
2017,110,Asia
2018,560,Europe
2018,250,North America
2018,120,Asia
2019,580,Europe
2019,260,North America
2019,130,Asia
2020,600,Europe
2020,270,North America
2020,140,Asia
