Year,Region,Internet Penetration,Smartphone Ownership
2011,North America,78,65
2011,Europe,75,55
2011,Asia-Pacific,32,15
2011,Middle East & Africa,18,8
2011,Latin America,40,20
2012,North America,80,70
2012,Europe,77,60
2012,Asia-Pacific,35,20
2012,Middle East & Africa,20,10
2012,Latin America,42,25
2013,North America,82,75
2013,Europe,79,65
2013,Asia-Pacific,38,25
2013,Middle East & Africa,22,12
2013,Latin America,45,30
2014,North America,84,80
2014,Europe,81,70
2014,Asia-Pacific,40,30
2014,Middle East & Africa,24,15
2014,Latin America,48,35
