Month,Activity,Count,Visitors,ParkLocation
January,Jogging,300,400,North Park
January,Cycling,200,350,South Park
January,Jogging,350,420,East Park
January,Cycling,250,370,West Park
February,Jogging,280,380,North Park
February,Cycling,240,300,South Park
February,Jogging,310,400,East Park
February,Cycling,260,340,West Park
March,Jogging,320,420,North Park
March,Cycling,270,360,South Park
March,Jogging,330,440,East Park
March,Cycling,290,380,West Park
April,Jogging,310,390,North Park
April,Cycling,230,310,South Park
April,Jogging,340,420,East Park
April,Cycling,250,330,West Park
May,Jogging,290,380,North Park
May,Cycling,220,300,South Park
May,Jogging,320,400,East Park
May,Cycling,240,320,West Park
