Country,Daily Exercise,Happiness Index,GDP per Capita
Argentina,1.2,6.5,20500
Brazil,1.5,6.2,15200
Canada,1.8,7.6,45600
Denmark,2.0,7.8,53300
Egypt,0.7,4.5,12000
Finland,2.2,7.9,49000
Germany,1.6,7.2,48000
India,0.9,5.0,7000
Japan,1.4,6.8,44000
Kenya,1.0,5.1,4500
Luxembourg,2.1,7.7,110000
Malaysia,1.3,6.0,29000
Nigeria,0.8,4.3,5500
Oman,1.1,6.3,35000
Poland,1.7,6.9,32000
Qatar,2.3,7.4,69000
Russia,1.2,5.8,27000
Sweden,2.0,7.5,51000
Turkey,1.1,5.5,26000
United Kingdom,1.9,7.3,42000
Vietnam,0.6,5.6,8000
Yemen,0.5,3.8,2700
Zambia,0.4,4.0,4000
