Year,Anomaly,Country
2000,0.8,China
2000,0.5,USA
2001,0.9,China
2001,0.55,USA
2002,0.95,China
2002,0.6,USA
2003,1.0,China
2003,0.65,USA
2004,1.1,China
2004,0.7,USA
2005,1.2,China
2005,0.75,USA
2006,1.15,China
2006,0.8,USA
2007,0.85,USA
2007,1.25,China
2008,1.3,China
2008,0.9,USA
2009,1.35,China
2009,0.95,USA
2010,1.4,China
2010,1.0,USA
2011,1.3,China
2011,1.05,USA
2012,1.35,China
2012,1.1,USA
2013,1.4,China
2013,1.15,USA
2014,1.45,China
2014,1.2,USA
2015,1.5,China
2015,1.25,USA
2016,1.55,China
2016,1.3,USA
2017,1.6,China
2017,1.35,USA
2018,1.65,China
2018,1.4,USA
2019,1.7,China
2019,1.45,USA
2020,1.75,China
2020,1.5,USA
