City,Hiking Frequency,Calories Burned,Trail Type
Springfield,3.5,1200,Mountain
Shelbyville,4.0,1400,Forest
Ogdenville,2.2,1000,Desert
North Haverbrook,3.8,1100,Beach
Brockway,2.6,1800,Urban
Guidopolis,4.5,1300,Countryside
Cypress Creek,1.9,700,Wetlands
Capital City,3.3,1600,Coastal
West Springfield,5.1,800,Hill
East Springfield,3.0,900,River
Little Pwagmattasquarmsettport,4.3,1500,Plateau
Spittle County,5.4,1700,Valley
Riverdale,3.9,1250,Mountain
Greendale,4.2,1350,Forest
Hogsmeade,3.1,1150,Desert
Evergreen Terrace,2.8,950,Beach
Sunnydale,5.0,1450,Urban
Pawnee,2.5,1700,Countryside
Stars Hollow,1.8,650,Wetlands
Mystic Falls,3.4,1550,Coastal
