Sector,Year,Expenditure
Healthcare,2000,500
Education,2000,450
Defense,2000,300
Infrastructure,2000,200
Research,2000,150
Healthcare,2005,550
Education,2005,480
Defense,2005,310
Infrastructure,2005,220
Research,2005,180
Healthcare,2010,605
Education,2010,490
Defense,2010,320
Infrastructure,2010,250
Research,2010,190
Healthcare,2015,650
Education,2015,520
Defense,2015,330
Infrastructure,2015,260
Research,2015,210
Healthcare,2020,700
Education,2020,540
Defense,2020,345
Infrastructure,2020,270
Research,2020,230
