Year,Region,GDP per Capita,Life Expectancy
2011,North America,53000,79
2011,Europe,42000,80
2011,Asia-Pacific,10000,72
2011,Middle East & Africa,15000,65
2011,Latin America,14000,74
2012,North America,54000,79
2012,Europe,43000,80
2012,Asia-Pacific,10500,73
2012,Middle East & Africa,15200,66
2012,Latin America,14500,74
2013,North America,55000,80
2013,Europe,43500,81
2013,Asia-Pacific,11000,74
2013,Middle East & Africa,15500,67
2013,Latin America,15000,75
2014,North America,56000,80
2014,Europe,44000,81
2014,Asia-Pacific,11500,74
2014,Middle East & Africa,16000,67
2014,Latin America,15500,75
