Month,Bill Amount
January,120
February,110
March,95
April,80
May,85
June,70
July,65
August,75
September,105
October,130
November,140
December,150
January,123
February,115
March,98
April,82
May,90
June,73
July,69
August,77
September,100
October,135
November,145
December,155
January,118
February,112
March,97
April,85
May,88
June,72
July,66
August,79
September,108
October,127
November,138
December,152
January,125
February,117
March,94
April,81
May,91
June,74
July,68
August,78
September,103
October,129
November,142
December,158
January,121
February,113
