Coffee Type,Sales
Espresso,175
Americano,200
Latte,220
Cappuccino,185
Flat White,160
Mocha,140
Macchiato,130
Espresso,190
Americano,210
Latte,230
Cappuccino,175
Flat White,155
Mocha,145
Macchiato,125
Espresso,200
Americano,205
Latte,240
Cappuccino,180
Flat White,165
Mocha,135
Macchiato,120
Espresso,180
Americano,195
Latte,235
Cappuccino,170
Flat White,150
Mocha,130
Macchiato,115
Espresso,190
Americano,205
Latte,225
Cappuccino,185
Flat White,160
Mocha,138
Macchiato,128
Espresso,183
Americano,198
Latte,229
Cappuccino,172
Flat White,154
Mocha,141
Macchiato,134
Espresso,176
Americano,202
Latte,221
Cappuccino,179
Flat White,158
Mocha,139
Macchiato,123
Espresso,188
Americano,207
Latte,228
Cappuccino,174
Flat White,152
Mocha,144
Macchiato,136
Espresso,181
Americano,199
Latte,226
Cappuccino,172
