Beverage,Sales
Cappuccino,154
Latte,201
Espresso,99
Mocha,134
Americano,112
Flat White,120
Macchiato,45
Tea,160
Hot Chocolate,130
Iced Coffee,210
Frappuccino,180
Cappuccino,160
Latte,202
Espresso,108
Mocha,139
Americano,115
Flat White,118
Macchiato,48
Tea,167
Hot Chocolate,127
Iced Coffee,206
Frappuccino,175
Cappuccino,149
Latte,199
Espresso,104
Mocha,121
Americano,109
Flat White,125
Macchiato,50
Tea,172
Hot Chocolate,122
Iced Coffee,217
Frappuccino,169
Cappuccino,158
Latte,203
Espresso,96
Mocha,136
Americano,113
Flat White,130
Macchiato,51
Tea,165
Hot Chocolate,125
Iced Coffee,214
Frappuccino,172
Cappuccino,147
Latte,206
Espresso,101
Mocha,128
Americano,111
Flat White,123
