Genre,Checkouts
Mystery,120
Romance,140
Science Fiction,110
Biographies,90
Children's Books,160
History,80
Self-Help,70
Cookbooks,60
Travel,50
Education,45
Fantasy,130
Horror,75
Thriller,115
Classic Literature,100
Poetry,30
Graphic Novels,85
Young Adult,150
Art,40
Health,35
Science,55
Mystery,125
Romance,135
Science Fiction,105
Biographies,88
Children's Books,165
History,84
Self-Help,72
Cookbooks,62
Travel,52
Education,48
Fantasy,128
Horror,78
Thriller,118
Classic Literature,105
Poetry,33
Graphic Novels,82
Young Adult,145
Art,45
Health,30
Science,58
Mystery,123
Romance,138
Science Fiction,109
Biographies,92
Children's Books,159
History,81
Self-Help,69
Cookbooks,55
Travel,47
Education,42
Fantasy,135
Horror,80
Thriller,110
Classic Literature,98
Poetry,35
Graphic Novels,89
Young Adult,152
Art,38
Health,32
Science,60
