Day,Steps
Monday,3400
Tuesday,7200
Wednesday,3900
Thursday,5600
Friday,8100
Saturday,9800
Sunday,11300
Monday,4500
Tuesday,6750
Wednesday,3200
Thursday,5870
Friday,7650
Saturday,10230
Sunday,12000
Monday,3800
Tuesday,7100
Wednesday,4350
Thursday,5400
Friday,8200
Saturday,9050
Sunday,11050
Monday,3050
Tuesday,6800
Wednesday,4120
Thursday,5830
Friday,7900
Saturday,9750
Sunday,11500
Monday,3700
Tuesday,7050
Wednesday,3870
Thursday,5300
Friday,8300
Saturday,9700
Sunday,11800
Monday,3650
Tuesday,6900
Wednesday,4010
Thursday,5750
Friday,8000
Saturday,9550
Sunday,11250
Monday,3420
Tuesday,7200
Wednesday,4150
Thursday,5550
Friday,8100
Saturday,9400
Sunday,11900
