Month,Rainfall
January,89
February,120
March,140
April,210
May,300
June,410
July,350
August,330
September,240
October,190
November,110
December,90
January,95
February,125
March,130
April,205
May,290
June,400
July,320
August,310
September,220
October,180
November,100
December,85
January,80
February,110
March,137
April,215
May,298
June,390
July,310
August,305
September,225
October,170
November,105
December,75
January,95
February,108
March,142
April,220
May,305
June,415
July,325
August,320
September,230
October,175
November,115
December,88
January,90
February,122
March,138
April,215
May,280
June,405
July,355
August,335
September,245
October,195
November,112
December,92
