Day,Sales
Monday,210
Tuesday,150
Wednesday,175
Thursday,190
Friday,240
Saturday,300
Sunday,280
Monday,220
Tuesday,130
Wednesday,160
Thursday,195
Friday,230
Saturday,310
Sunday,275
Monday,205
Tuesday,135
Wednesday,165
Thursday,185
Friday,250
Saturday,290
Sunday,260
Monday,215
Tuesday,145
Wednesday,155
Thursday,180
Friday,260
Saturday,305
Sunday,285
Monday,225
Tuesday,120
Wednesday,170
Thursday,200
Friday,245
Saturday,295
Sunday,270
Monday,230
Tuesday,125
Wednesday,180
Thursday,190
Friday,255
Saturday,280
Sunday,265
Monday,205
Tuesday,140
Wednesday,175
Thursday,210
Friday,235
Saturday,320
Sunday,260
Monday,220
Tuesday,150
Wednesday,160
Thursday,200
