Date,Books Loaned
2023-02-20,65
2023-02-21,70
2023-02-22,58
2023-02-23,72
2023-02-24,80
2023-02-25,45
2023-02-26,50
2023-02-27,55
2023-02-28,60
2023-03-01,75
2023-03-02,65
2023-03-03,68
2023-03-04,42
2023-03-05,48
2023-03-06,62
2023-03-07,64
2023-03-08,59
2023-03-09,73
2023-03-10,77
2023-03-11,43
2023-03-12,46
2023-03-13,61
2023-03-14,66
2023-03-15,58
2023-03-16,71
2023-03-17,85
2023-03-18,40
2023-03-19,44
2023-03-20,57
2023-03-21,63
2023-03-22,76
2023-03-23,82
2023-03-24,88
2023-03-25,47
2023-03-26,52
2023-03-27,66
2023-03-28,69
2023-03-29,74
2023-03-30,79
2023-03-31,83
2023-04-01,37
2023-04-02,41
2023-04-03,54
2023-04-04,60
2023-04-05,63
2023-04-06,78
2023-04-07,86
2023-04-08,45
2023-04-09,49
2023-04-10,56
2023-04-11,58
2023-04-12,61
2023-04-13,75
2023-04-14,81
2023-04-15,42
2023-04-16,39
2023-04-17,50
2023-04-18,67
2023-04-19,70
2023-04-20,76
2023-04-21,84
