Week, Foot Traffic Count
Week 1, 830
Week 2, 790
Week 3, 940
Week 4, 1000
Week 5, 1103
Week 6, 855
Week 7, 705
Week 8, 950
Week 9, 920
Week 10, 1012
Week 11, 1130
Week 12, 840
Week 13, 780
Week 14, 970
Week 15, 950
Week 16, 1040
Week 17, 1160
Week 18, 830
Week 19, 720
Week 20, 940
Week 21, 965
Week 22, 1030
Week 23, 1200
Week 24, 870
Week 25, 765
Week 26, 980
Week 27, 1005
Week 28, 1060
Week 29, 1095
Week 30, 880
Week 31, 745
Week 32, 955
Week 33, 935
Week 34, 1080
Week 35, 1150
Week 36, 890
Week 37, 780
Week 38, 965
Week 39, 1020
Week 40, 1055
Week 41, 1120
Week 42, 815
Week 43, 730
Week 44, 960
Week 45, 1010
Week 46, 1075
Week 47, 1195
Week 48, 860
Week 49, 810
Week 50, 940
