Month,Passengers (in thousands)
January,1200
February,1100
March,1180
April,1150
May,1230
June,1290
July,1350
August,1280
September,1300
October,1220
November,1190
December,1250
January,1220
February,1120
March,1200
April,1160
May,1250
June,1300
July,1360
August,1290
September,1310
October,1230
November,1200
December,1260
January,1210
February,1130
March,1190
April,1170
May,1260
June,1310
July,1370
August,1300
September,1320
October,1240
November,1210
December,1270
January,1230
February,1135
March,1195
April,1175
May,1270
June,1320
July,1380
August,1310
September,1330
October,1250
November,1220
December,1280
